,flat_street,flat_price,flat_room_count,flat_area,flat_district
4953,"Сікорського Ігоря вул. (Танкова), 1",37000,2,71.0,Шевченківський
4954,"Теремківська вул., 4",18000,2,40.0,Голосіївський
4955,"Ігоря Турчина вул. (Блюхера Василя), 17",11000,2,50.0,Шевченківський
4956,"Юрія Іллєнка вул. (Мельникова), 18б",32000,3,186.0,Шевченківський
4957,"Радунська вул., 14А",8000,3,68.0,Деснянський
4958,"Пчілки Олени вул., 6",11470,1,60.0,Дарницький
4959,"Лєскова вул., 1",12000,1,60.0,Печерський
4960,"Липківского Василя вул. (Урицького), 38",21275,1,45.0,Солом'янський
4961,"Ахматової Анни вул., 30",24050,3,95.0,Дарницький
4962,"Василя Тютюнника вул. (Барбюса Анрі), 31/1",29600,2,85.0,Печерський
4963,"Шумського Юрія вул., 3-Г",11000,2,65.0,Дніпровський
4964,"Горлівська вул., 38/40",8000,1,40.0,Дарницький
4965,"Заболотного академіка вул., 1б",20000,2,66.0,Голосіївський
4966,"Жилянська вул., 68",25900,1,50.0,Голосіївський
4967,"Володимирська вул., 49",37000,3,120.0,Шевченківський
4969,"Глибочицька вул., 73",37000,1,54.0,Шевченківський
4972,"Драгоманова вул., 40ж",20000,2,81.0,Дарницький
4974,"Бульварно-Кудрявська вул. (Воровського), 7Б",40000,3,98.0,Шевченківський
4975,"Дніпровська набережна, 16Д",18500,2,43.0,Дарницький
4976,"Антоновича вул. (Горького), 74",29600,2,57.0,Голосіївський
4977,"С.Русової, 1",20000,3,82.0,Дарницький
4978,"Обсерваторна вул., 13",28000,3,80.0,Шевченківський
4979,"Чавдар Єлизавети вул., 2",22200,3,123.0,Дарницький
4980,"Старонаводницька вул., 6б",27750,2,87.0,Печерський
4981,"Шовковична вул., 36/7",30000,3,120.0,Печерський
4982,"Зарічна вул., 4",23000,2,41.0,Дарницький
4983,"Палладина, 22",12000,1,47.0,Дніпровський
4984,"Райдужна вул., 10",8000,2,70.0,Дніпровський
4985,"Хрещатик вул., 23",44400,3,75.0,Печерський
4986,"Берестейський просп. (Перемоги), 5-В",24050,1,46.0,Шевченківський
4987,"Правди просп., 41а",17500,2,47.0,Подільський
4988,"Драгомирова вул., 4",22200,3,112.0,Печерський
4989,"Виноградний пров., 1/11",33300,3,76.0,Печерський
4992,"Лесі Українки бульв., 7а",55500,3,141.0,Печерський
4993,"Старонаводницька вул., 13 А",44400,4,204.0,Печерський
4996,"Лаврухіна Миколи вул., 12",18000,3,92.0,Деснянський
4997,"Лобачевського вул., 7",7500,1,27.0,Дніпровський
4998,"Драгоманова вул., 12а",8500,2,64.0,Дарницький
4999,"Бажана Миколи просп., 17",9500,1,33.0,Дарницький
5002,"Тарасівська вул., 20",12000,2,60.0,Голосіївський
5003,"Драгомирова вул., 5",40700,2,80.0,Печерський
5004,"Татарська вул., 38",14000,3,80.0,Шевченківський
5006,"Джона Маккейна вул. (Кудрі Івана), 3а",38850,2,55.0,Печерський
5007,"Вітряні Гори вул., 17",7500,1,40.0,Подільський
5008,"Липківского Василя вул. (Урицького), 49А",25900,1,50.0,Солом'янський
5009,"Хмельницького Богдана вул., 9",37000,3,65.0,Шевченківський
5011,"Малишка Андрія вул., 19а",12500,3,72.0,Дніпровський
5012,"Герцена вул., 17/25",35000,4,120.0,Шевченківський
5013,"Наддніпрянське шосе, 2а",33300,3,78.0,Печерський
5014,"Саксаганського вул., 37к",35150,2,65.0,Голосіївський
5015,"Саксаганського вул., 37к",35150,2,65.0,Голосіївський
5017,"Круглоуніверситетська вул., 3-5",44400,3,185.0,Печерський
5018,"Євгена Коновальця вул. (Щорса), 32г",33000,3,130.0,Печерський
5020,"Павлівська вул., 18",37000,4,260.0,Шевченківський
5025,"Теремківська вул., 4А",44400,2,72.0,Голосіївський
5026,"Драгомирова вул., 5",46250,3,155.0,Печерський
5027,"Салютна вул., 27а",10000,3,60.0,Шевченківський
5029,"Ірпінська вул., 2",8000,2,58.0,Святошинський
5030,"Гашека Ярослава бульв., 16",7000,2,47.0,Дніпровський
5031,"Євгена Коновальця вул. (Щорса), 15 к4",20350,2,46.0,Печерський
5034,"Драгоманова вул., 2б",14800,1,50.0,Дарницький
5035,"Неходи Івана вул., 2",10000,1,30.0,Солом'янський
5036,"Левітана вул., 3",15000,2,75.0,Голосіївський
5037,"Срібнокільська вул., 3В",18000,2,80.0,Дарницький
5038,"Фортечний тупик (Тверський), 6/8",11100,1,28.0,Печерський
5039,"Драйзера Теодора вул., 28",6000,1,40.0,Деснянський
5040,"Софії Русової вул., 7",13500,2,63.0,Дарницький
5041,"Юрія Іллєнка вул. (Мельникова), 18б",33300,3,123.0,Шевченківський
5042,"Дмитрівська вул., 45",40700,3,130.0,Шевченківський
5043,"Василя Липківського, 16а",29600,3,76.0,Солом'янський
5045,"Золотоворітська вул., 13",55500,4,175.0,Шевченківський
5046,"Дніпровська набережна, 16Д",19000,2,45.0,Дарницький
5047,"Лесі Українки бульв., 23",46250,5,265.0,Печерський
5048,"Степана Васильченко, 3",14000,2,67.0,Солом'янський
5049,"Лесі Українки бульв., 30Б",25900,4,200.0,Печерський
5050,"Бальзака Оноре вул., 77",8000,2,50.0,Деснянський
5051,"Сікорського Ігоря вул. (Танкова), 1",23000,3,79.0,Шевченківський
5052,"Сімферопольська вул., 9/1",8990,3,80.0,Дарницький
5053,"Глибочицька вул., 13",22200,1,43.0,Шевченківський
5054,"Урлівська вул., 14",7000,2,73.0,Дарницький
5055,"Чорновола В'ячеслава вул., 27",22000,2,55.0,Шевченківський
5056,"Нижньоключова вул., 14",14000,1,41.0,Солом'янський
5057,"Правди просп., 41а",15500,1,36.0,Подільський
5058,"Лютеранська вул., 3",30000,1,70.0,Печерський
5059,"Юлії Здановської вул. (Ломоносова), 60а",16000,1,85.0,Голосіївський
5060,"Практична вул., 2",19000,1,44.0,Солом'янський
5061,"Дніпровська набережна, 16Г",17000,2,44.0,Дарницький
5062,"Червоної Калини просп. (Маяковського Володимира), 40",8500,2,60.0,Деснянський
5063,"Петрицького Анатолія вул., 15а",18000,2,80.0,Святошинський
5064,"Харківське шосе, 2",11000,3,68.0,Дніпровський
5065,"Вірменська вул., 6",14300,1,46.0,Дарницький
5066,"Зарічна вул., 4",17000,2,38.0,Дарницький
5067,"Драгомирова вул., 3",14800,3,84.0,Печерський
5068,"Джона Маккейна вул. (Кудрі Івана), 3а",44400,2,78.0,Печерський
5069,"Ділова вул., 2-Б",44400,4,173.0,Печерський
5070,"Олійника Степана вул., 15",9000,3,75.0,Дарницький
5071,"Вишняківська вул., 7 б",9600,3,100.0,Дарницький
5072,"Саксаганського вул., 67",12000,2,56.0,Голосіївський
5074,"Вавілових вул., 16/12",7000,2,46.0,Шевченківський
